,train,val,test
0,BRACS_745,BRACS_1631,BRACS_1905
1,BRACS_761,BRACS_758,BRACS_760
2,BRACS_1240,BRACS_1259,BRACS_1003668
3,BRACS_1241,BRACS_3272,BRACS_1784
4,BRACS_1242,BRACS_1003658,BRACS_1980
5,BRACS_1249,BRACS_1988,BRACS_3312
6,BRACS_1251,BRACS_1640,BRACS_2004
7,BRACS_1253,BRACS_1659,BRACS_1846
8,BRACS_1255,BRACS_1248,BRACS_3337
9,BRACS_1273,BRACS_1832,BRACS_3281
10,BRACS_1318,BRACS_1003734,BRACS_1003659
11,BRACS_1321,BRACS_1003669,BRACS_3271
12,BRACS_1322,BRACS_1320,BRACS_3311
13,BRACS_1324,BRACS_1003706,BRACS_3309
14,BRACS_1325,BRACS_1274,BRACS_3269
15,BRACS_1327,BRACS_1848,BRACS_3278
16,BRACS_1329,BRACS_1594,BRACS_1792
17,BRACS_1336,BRACS_1952,BRACS_1996
18,BRACS_1338,BRACS_1957,BRACS_1003707
19,BRACS_1370,BRACS_1642,BRACS_1003661
20,BRACS_1408,BRACS_3317,BRACS_1270
21,BRACS_1480,BRACS_1335,BRACS_1789
22,BRACS_1483,BRACS_748,BRACS_291
23,BRACS_1485,BRACS_1233,BRACS_757
24,BRACS_1493,BRACS_740,BRACS_756
25,BRACS_1508,BRACS_1284,BRACS_1578
26,BRACS_1511,BRACS_1003722,BRACS_1003678
27,BRACS_1582,BRACS_3291,BRACS_754
28,BRACS_1583,BRACS_749,BRACS_1908
29,BRACS_1593,BRACS_1003670,BRACS_1393
30,BRACS_1603,BRACS_3323,BRACS_1003708
31,BRACS_1605,BRACS_1487,BRACS_1823
32,BRACS_1612,BRACS_1003732,BRACS_1003677
33,BRACS_1620,BRACS_1277,BRACS_1650
34,BRACS_1633,BRACS_1646,BRACS_3308
35,BRACS_1634,BRACS_1510,BRACS_1865
36,BRACS_1655,BRACS_3266,BRACS_1003693
37,BRACS_1656,BRACS_2007,BRACS_1250
38,BRACS_1660,BRACS_743,BRACS_1778
39,BRACS_1661,BRACS_1928,BRACS_1369
40,BRACS_1664,BRACS_1999,BRACS_1950
41,BRACS_1665,BRACS_1238,BRACS_1864
42,BRACS_1666,BRACS_1874,BRACS_1921
43,BRACS_1668,BRACS_1883,BRACS_1919
44,BRACS_1669,BRACS_1862,BRACS_1923
45,BRACS_1772,BRACS_3275,BRACS_1378
46,BRACS_1779,BRACS_1003675,BRACS_1507
47,BRACS_1796,BRACS_1261,BRACS_1974
48,BRACS_1833,BRACS_1658,BRACS_1641
49,BRACS_1839,BRACS_1938,BRACS_1863
50,BRACS_1841,BRACS_1912,BRACS_1969
51,BRACS_1866,BRACS_1849,BRACS_1977
52,BRACS_1869,BRACS_1882,BRACS_1003728
53,BRACS_1879,BRACS_1808,BRACS_1499
54,BRACS_1880,,
55,BRACS_1890,,
56,BRACS_1893,,
57,BRACS_1900,,
58,BRACS_1901,,
59,BRACS_1902,,
60,BRACS_1904,,
61,BRACS_1924,,
62,BRACS_1948,,
63,BRACS_1960,,
64,BRACS_1961,,
65,BRACS_1962,,
66,BRACS_1964,,
67,BRACS_1965,,
68,BRACS_1966,,
69,BRACS_1967,,
70,BRACS_1972,,
71,BRACS_1986,,
72,BRACS_1989,,
73,BRACS_1994,,
74,BRACS_2000,,
75,BRACS_2002,,
76,BRACS_3268,,
77,BRACS_3270,,
78,BRACS_3274,,
79,BRACS_3276,,
80,BRACS_3279,,
81,BRACS_3283,,
82,BRACS_3334,,
83,BRACS_3335,,
84,BRACS_3336,,
85,BRACS_1003671,,
86,BRACS_1003672,,
87,BRACS_1003686,,
88,BRACS_1003700,,
89,BRACS_1003710,,
90,BRACS_1003724,,
91,BRACS_1003725,,
92,BRACS_1003730,,
93,BRACS_264,,
94,BRACS_1330,,
95,BRACS_1412,,
96,BRACS_1842,,
97,BRACS_1843,,
98,BRACS_1845,,
99,BRACS_1847,,
100,BRACS_1850,,
101,BRACS_1851,,
102,BRACS_1852,,
103,BRACS_1870,,
104,BRACS_1906,,
105,BRACS_1940,,
106,BRACS_1942,,
107,BRACS_3324,,
108,BRACS_1275,,
109,BRACS_1276,,
110,BRACS_1423,,
111,BRACS_1424,,
112,BRACS_1608,,
113,BRACS_3295,,
114,BRACS_3296,,
115,BRACS_3298,,
116,BRACS_3300,,
117,BRACS_1244,,
118,BRACS_1326,,
119,BRACS_1337,,
120,BRACS_1409,,
121,BRACS_1495,,
122,BRACS_1498,,
123,BRACS_1581,,
124,BRACS_1596,,
125,BRACS_1604,,
126,BRACS_1606,,
127,BRACS_1617,,
128,BRACS_1618,,
129,BRACS_1621,,
130,BRACS_1667,,
131,BRACS_1780,,
132,BRACS_1782,,
133,BRACS_1783,,
134,BRACS_1785,,
135,BRACS_1786,,
136,BRACS_1787,,
137,BRACS_1791,,
138,BRACS_1793,,
139,BRACS_1834,,
140,BRACS_1836,,
141,BRACS_1837,,
142,BRACS_1873,,
143,BRACS_1881,,
144,BRACS_1914,,
145,BRACS_1917,,
146,BRACS_1918,,
147,BRACS_1946,,
148,BRACS_1949,,
149,BRACS_1958,,
150,BRACS_1959,,
151,BRACS_1963,,
152,BRACS_1993,,
153,BRACS_1995,,
154,BRACS_1997,,
155,BRACS_2001,,
156,BRACS_2005,,
157,BRACS_3273,,
158,BRACS_3310,,
159,BRACS_3313,,
160,BRACS_1003685,,
161,BRACS_1003705,,
162,BRACS_1334,,
163,BRACS_1416,,
164,BRACS_1619,,
165,BRACS_1821,,
166,BRACS_1824,,
167,BRACS_1853,,
168,BRACS_1896,,
169,BRACS_265,,
170,BRACS_1295,,
171,BRACS_1591,,
172,BRACS_1592,,
173,BRACS_1595,,
174,BRACS_1609,,
175,BRACS_3284,,
176,BRACS_280,,
177,BRACS_281,,
178,BRACS_283,,
179,BRACS_288,,
180,BRACS_295,,
181,BRACS_297,,
182,BRACS_298,,
183,BRACS_311,,
184,BRACS_734,,
185,BRACS_747,,
186,BRACS_750,,
187,BRACS_752,,
188,BRACS_753,,
189,BRACS_759,,
190,BRACS_773,,
191,BRACS_1231,,
192,BRACS_1232,,
193,BRACS_1235,,
194,BRACS_1263,,
195,BRACS_1265,,
196,BRACS_1272,,
197,BRACS_1279,,
198,BRACS_1287,,
199,BRACS_1288,,
200,BRACS_1289,,
201,BRACS_1292,,
202,BRACS_1293,,
203,BRACS_1356,,
204,BRACS_1357,,
205,BRACS_1358,,
206,BRACS_1360,,
207,BRACS_1374,,
208,BRACS_1406,,
209,BRACS_1407,,
210,BRACS_1477,,
211,BRACS_1478,,
212,BRACS_1484,,
213,BRACS_1516,,
214,BRACS_1635,,
215,BRACS_1636,,
216,BRACS_1637,,
217,BRACS_1638,,
218,BRACS_1639,,
219,BRACS_1643,,
220,BRACS_1647,,
221,BRACS_1648,,
222,BRACS_1649,,
223,BRACS_1652,,
224,BRACS_1654,,
225,BRACS_1810,,
226,BRACS_1812,,
227,BRACS_1827,,
228,BRACS_1828,,
229,BRACS_1829,,
230,BRACS_1830,,
231,BRACS_1831,,
232,BRACS_1875,,
233,BRACS_1984,,
234,BRACS_3289,,
235,BRACS_3290,,
236,BRACS_3293,,
237,BRACS_3294,,
238,BRACS_3305,,
239,BRACS_3314,,
240,BRACS_3315,,
241,BRACS_3316,,
242,BRACS_3319,,
243,BRACS_3320,,
244,BRACS_3321,,
245,BRACS_1003667,,
246,BRACS_1003673,,
247,BRACS_1003684,,
248,BRACS_1003692,,
249,BRACS_1003698,,
250,BRACS_1003699,,
251,BRACS_1003703,,
252,BRACS_1003709,,
253,BRACS_1003721,,
254,BRACS_1003723,,
255,BRACS_1003727,,
256,BRACS_1003731,,
257,BRACS_286,,
258,BRACS_292,,
259,BRACS_301,,
260,BRACS_305,,
261,BRACS_310,,
262,BRACS_1286,,
263,BRACS_1411,,
264,BRACS_1413,,
265,BRACS_1414,,
266,BRACS_1580,,
267,BRACS_1587,,
268,BRACS_1590,,
269,BRACS_1817,,
270,BRACS_1826,,
271,BRACS_1910,,
272,BRACS_738,,
273,BRACS_739,,
274,BRACS_1361,,
275,BRACS_1362,,
276,BRACS_1368,,
277,BRACS_1392,,
278,BRACS_1394,,
279,BRACS_1395,,
280,BRACS_1798,,
281,BRACS_3301,,
282,BRACS_1239,,
283,BRACS_1257,,
284,BRACS_1319,,
285,BRACS_1506,,
286,BRACS_1773,,
287,BRACS_1774,,
288,BRACS_1775,,
289,BRACS_1777,,
290,BRACS_1788,,
291,BRACS_1815,,
292,BRACS_1838,,
293,BRACS_1857,,
294,BRACS_1858,,
295,BRACS_1871,,
296,BRACS_1916,,
297,BRACS_1926,,
298,BRACS_1968,,
299,BRACS_1971,,
300,BRACS_300,,
301,BRACS_1813,,
302,BRACS_1814,,
303,BRACS_1936,,
304,BRACS_1937,,
305,BRACS_1941,,
306,BRACS_1943,,
307,BRACS_1944,,
308,BRACS_1954,,
309,BRACS_1955,,
310,BRACS_1610,,
311,BRACS_1799,,
312,BRACS_1886,,
313,BRACS_1975,,
314,BRACS_3285,,
315,BRACS_755,,
316,BRACS_762,,
317,BRACS_1247,,
318,BRACS_1489,,
319,BRACS_1490,,
320,BRACS_1491,,
321,BRACS_1492,,
322,BRACS_1496,,
323,BRACS_1497,,
324,BRACS_1509,,
325,BRACS_1512,,
326,BRACS_1514,,
327,BRACS_1515,,
328,BRACS_1653,,
329,BRACS_1771,,
330,BRACS_1811,,
331,BRACS_1816,,
332,BRACS_1835,,
333,BRACS_1840,,
334,BRACS_1888,,
335,BRACS_1903,,
336,BRACS_1920,,
337,BRACS_1927,,
338,BRACS_1929,,
339,BRACS_1930,,
340,BRACS_1931,,
341,BRACS_1947,,
342,BRACS_1970,,
343,BRACS_1003697,,
344,BRACS_1283,,
345,BRACS_1473,,
346,BRACS_1474,,
347,BRACS_1476,,
348,BRACS_1588,,
349,BRACS_1597,,
350,BRACS_1602,,
351,BRACS_1867,,
352,BRACS_1872,,
353,BRACS_1878,,
354,BRACS_1897,,
355,BRACS_1945,,
356,BRACS_735,,
357,BRACS_736,,
358,BRACS_737,,
359,BRACS_1366,,
360,BRACS_1367,,
361,BRACS_1607,,
362,BRACS_1935,,
363,BRACS_3302,,
364,BRACS_1267,,
365,BRACS_1269,,
366,BRACS_1385,,
367,BRACS_1386,,
368,BRACS_1401,,
369,BRACS_1403,,
370,BRACS_1404,,
371,BRACS_1405,,
372,BRACS_1513,,
373,BRACS_1645,,
374,BRACS_1973,,
375,BRACS_1998,,
376,BRACS_3277,,
377,BRACS_3282,,
378,BRACS_3292,,
379,BRACS_1003713,,
380,BRACS_1003714,,
381,BRACS_1003715,,
382,BRACS_1003716,,
383,BRACS_1003718,,
384,BRACS_1579,,
385,BRACS_1598,,
386,BRACS_1599,,
387,BRACS_1601,,
388,BRACS_1820,,
389,BRACS_1855,,
390,BRACS_3322,,
391,BRACS_1296,,
392,BRACS_1584,,
393,BRACS_1585,,
394,BRACS_1614,,
395,BRACS_1632,,
396,BRACS_1978,,
