,train,val,test
0,BRACS_280,BRACS_265,BRACS_264
1,BRACS_281,BRACS_735,BRACS_286
2,BRACS_283,BRACS_736,BRACS_292
3,BRACS_288,BRACS_737,BRACS_300
4,BRACS_291,BRACS_738,BRACS_301
5,BRACS_295,BRACS_739,BRACS_305
6,BRACS_297,BRACS_740,BRACS_310
7,BRACS_298,BRACS_1261,BRACS_1228
8,BRACS_311,BRACS_1271,BRACS_1283
9,BRACS_734,BRACS_1275,BRACS_1284
10,BRACS_743,BRACS_1276,BRACS_1286
11,BRACS_745,BRACS_1295,BRACS_1330
12,BRACS_747,BRACS_1296,BRACS_1334
13,BRACS_748,BRACS_1361,BRACS_1411
14,BRACS_749,BRACS_1362,BRACS_1412
15,BRACS_750,BRACS_1366,BRACS_1413
16,BRACS_752,BRACS_1367,BRACS_1414
17,BRACS_753,BRACS_1368,BRACS_1416
18,BRACS_754,BRACS_1392,BRACS_1473
19,BRACS_755,BRACS_1393,BRACS_1474
20,BRACS_756,BRACS_1394,BRACS_1476
21,BRACS_757,BRACS_1395,BRACS_1503
22,BRACS_758,BRACS_1423,BRACS_1578
23,BRACS_759,BRACS_1424,BRACS_1579
24,BRACS_760,BRACS_1584,BRACS_1580
25,BRACS_761,BRACS_1585,BRACS_1587
26,BRACS_762,BRACS_1591,BRACS_1588
27,BRACS_773,BRACS_1592,BRACS_1589
28,BRACS_1231,BRACS_1595,BRACS_1590
29,BRACS_1232,BRACS_1607,BRACS_1597
30,BRACS_1233,BRACS_1608,BRACS_1598
31,BRACS_1235,BRACS_1609,BRACS_1599
32,BRACS_1238,BRACS_1610,BRACS_1601
33,BRACS_1239,BRACS_1614,BRACS_1602
34,BRACS_1240,BRACS_1632,BRACS_1619
35,BRACS_1241,BRACS_1797,BRACS_1813
36,BRACS_1242,BRACS_1798,BRACS_1814
37,BRACS_1244,BRACS_1799,BRACS_1817
38,BRACS_1247,BRACS_1876,BRACS_1820
39,BRACS_1248,BRACS_1883,BRACS_1821
40,BRACS_1249,BRACS_1885,BRACS_1823
41,BRACS_1250,BRACS_1886,BRACS_1824
42,BRACS_1251,BRACS_1935,BRACS_1825
43,BRACS_1253,BRACS_1953,BRACS_1826
44,BRACS_1255,BRACS_1974,BRACS_1842
45,BRACS_1257,BRACS_1975,BRACS_1843
46,BRACS_1259,BRACS_1977,BRACS_1844
47,BRACS_1263,BRACS_1978,BRACS_1845
48,BRACS_1265,BRACS_1979,BRACS_1846
49,BRACS_1267,BRACS_1980,BRACS_1847
50,BRACS_1269,BRACS_1981,BRACS_1848
51,BRACS_1270,BRACS_1982,BRACS_1849
52,BRACS_1272,BRACS_1983,BRACS_1850
53,BRACS_1273,BRACS_3266,BRACS_1851
54,BRACS_1274,BRACS_3284,BRACS_1852
55,BRACS_1277,BRACS_3285,BRACS_1853
56,BRACS_1279,BRACS_3295,BRACS_1855
57,BRACS_1287,BRACS_3296,BRACS_1856
58,BRACS_1288,BRACS_3298,BRACS_1867
59,BRACS_1289,BRACS_3300,BRACS_1870
60,BRACS_1292,BRACS_3301,BRACS_1872
61,BRACS_1293,BRACS_3302,BRACS_1878
62,BRACS_1318,BRACS_3337,BRACS_1892
63,BRACS_1319,BRACS_1003661,BRACS_1895
64,BRACS_1320,,BRACS_1896
65,BRACS_1321,,BRACS_1897
66,BRACS_1322,,BRACS_1906
67,BRACS_1324,,BRACS_1908
68,BRACS_1325,,BRACS_1910
69,BRACS_1326,,BRACS_1936
70,BRACS_1327,,BRACS_1937
71,BRACS_1329,,BRACS_1938
72,BRACS_1335,,BRACS_1940
73,BRACS_1336,,BRACS_1941
74,BRACS_1337,,BRACS_1942
75,BRACS_1338,,BRACS_1943
76,BRACS_1356,,BRACS_1944
77,BRACS_1357,,BRACS_1945
78,BRACS_1358,,BRACS_1952
79,BRACS_1360,,BRACS_1954
80,BRACS_1369,,BRACS_1955
81,BRACS_1370,,BRACS_2007
82,BRACS_1374,,BRACS_3322
83,BRACS_1378,,BRACS_3323
84,BRACS_1379,,BRACS_3324
85,BRACS_1385,,BRACS_1003691
86,BRACS_1386,,BRACS_1003694
87,BRACS_1401,,
88,BRACS_1403,,
89,BRACS_1404,,
90,BRACS_1405,,
91,BRACS_1406,,
92,BRACS_1407,,
93,BRACS_1408,,
94,BRACS_1409,,
95,BRACS_1477,,
96,BRACS_1478,,
97,BRACS_1480,,
98,BRACS_1483,,
99,BRACS_1484,,
100,BRACS_1485,,
101,BRACS_1486,,
102,BRACS_1487,,
103,BRACS_1489,,
104,BRACS_1490,,
105,BRACS_1491,,
106,BRACS_1492,,
107,BRACS_1493,,
108,BRACS_1494,,
109,BRACS_1495,,
110,BRACS_1496,,
111,BRACS_1497,,
112,BRACS_1498,,
113,BRACS_1499,,
114,BRACS_1506,,
115,BRACS_1507,,
116,BRACS_1508,,
117,BRACS_1509,,
118,BRACS_1510,,
