,train,val,test
0,slide_364,patient_071_node_2,patient_089_node_2
1,patient_073_node_0,slide_154,patient_013_node_0
2,slide_380,slide_309,patient_054_node_3
3,slide_28,patient_054_node_0,slide_132
4,patient_078_node_0,slide_117,patient_046_node_0
5,slide_82,slide_79,patient_085_node_2
6,slide_24,patient_008_node_2,patient_054_node_2
7,slide_144,slide_9,patient_055_node_1
8,patient_099_node_1,patient_054_node_4,patient_040_node_1
9,patient_028_node_4,patient_041_node_3,slide_350
10,patient_079_node_4,patient_058_node_2,patient_072_node_3
11,slide_295,patient_021_node_2,patient_061_node_2
12,patient_035_node_3,slide_18,slide_140
13,slide_50,patient_056_node_0,slide_47
14,patient_041_node_1,slide_27,patient_023_node_3
15,slide_115,patient_064_node_4,slide_145
16,patient_001_node_3,patient_061_node_3,patient_060_node_2
17,slide_150,patient_003_node_1,slide_94
18,patient_031_node_4,patient_047_node_1,slide_26
19,patient_093_node_0,patient_004_node_0,slide_325
20,patient_052_node_4,patient_059_node_2,patient_088_node_0
21,patient_056_node_1,slide_146,patient_016_node_2
22,patient_061_node_0,patient_035_node_1,slide_284
23,slide_156,slide_35,slide_83
24,slide_323,patient_011_node_1,slide_345
25,slide_12,slide_352,patient_079_node_3
26,patient_009_node_3,patient_071_node_1,slide_307
27,patient_087_node_4,patient_043_node_0,patient_085_node_3
28,patient_073_node_4,patient_037_node_3,slide_65
29,patient_025_node_3,patient_033_node_4,patient_002_node_4
30,patient_060_node_4,patient_071_node_0,slide_106
31,patient_095_node_1,patient_030_node_3,patient_036_node_0
32,patient_032_node_0,patient_030_node_1,patient_022_node_3
33,slide_98,patient_082_node_3,patient_048_node_2
34,patient_007_node_0,slide_396,patient_078_node_3
35,patient_070_node_0,slide_148,slide_30
36,patient_082_node_0,slide_51,slide_10
37,patient_042_node_4,patient_085_node_0,patient_093_node_3
38,patient_024_node_3,slide_80,slide_128
39,patient_025_node_0,patient_064_node_2,patient_030_node_0
40,patient_090_node_0,slide_29,slide_55
41,slide_273,slide_75,slide_4
42,patient_025_node_4,patient_086_node_2,patient_041_node_2
43,slide_149,patient_049_node_3,slide_31
44,slide_33,slide_104,patient_044_node_2
45,patient_089_node_4,patient_015_node_0,slide_136
46,patient_012_node_1,patient_005_node_0,slide_143
47,slide_131,patient_083_node_4,patient_042_node_1
48,slide_302,patient_079_node_0,patient_059_node_1
49,slide_72,patient_042_node_2,patient_098_node_2
50,patient_074_node_1,patient_007_node_1,patient_075_node_1
51,slide_74,patient_083_node_3,slide_95
52,patient_099_node_0,patient_066_node_0,patient_004_node_3
53,patient_079_node_2,slide_34,patient_035_node_0
54,slide_362,patient_057_node_0,patient_057_node_1
55,slide_341,patient_027_node_1,patient_097_node_2
56,slide_289,patient_086_node_4,slide_243
57,slide_69,patient_017_node_3,slide_176
58,slide_317,patient_081_node_4,slide_247
59,slide_71,patient_088_node_1,slide_188
60,slide_38,patient_069_node_2,patient_075_node_4
61,slide_68,patient_030_node_4,patient_097_node_4
62,slide_61,slide_391,patient_018_node_3
63,patient_043_node_4,patient_021_node_3,slide_231
64,slide_20,patient_032_node_1,patient_016_node_0
65,patient_090_node_2,slide_333,slide_180
66,slide_16,slide_261,patient_013_node_4
67,slide_388,patient_026_node_0,slide_171
68,patient_048_node_3,patient_016_node_1,slide_253
69,patient_075_node_0,patient_096_node_2,slide_213
70,patient_056_node_4,slide_310,patient_038_node_0
71,patient_001_node_0,slide_343,slide_308
72,patient_078_node_4,patient_051_node_0,slide_187
73,patient_002_node_1,slide_291,patient_018_node_1
74,slide_90,slide_237,patient_094_node_2
75,patient_093_node_2,patient_076_node_3,slide_172
76,slide_57,slide_297,slide_371
77,patient_011_node_2,patient_019_node_3,slide_191
78,patient_015_node_3,patient_073_node_3,slide_271
79,patient_071_node_3,slide_259,slide_164
80,slide_73,patient_066_node_3,slide_330
81,patient_005_node_1,patient_019_node_1,patient_049_node_2
82,patient_058_node_1,slide_219,slide_234
83,patient_096_node_1,slide_235,patient_072_node_0
84,patient_081_node_3,slide_162,slide_316
85,slide_87,patient_088_node_4,patient_020_node_2
86,patient_043_node_2,slide_166,patient_070_node_3
87,patient_075_node_3,patient_018_node_4,slide_254
88,patient_068_node_0,slide_175,slide_353
89,slide_56,patient_069_node_1,slide_382
90,patient_036_node_1,,
91,patient_066_node_1,,
92,slide_97,,
93,patient_023_node_1,,
94,patient_053_node_3,,
95,slide_384,,
96,patient_001_node_1,,
97,slide_292,,
98,patient_046_node_2,,
99,patient_058_node_3,,
100,patient_010_node_2,,
101,patient_054_node_1,,
102,slide_41,,
103,patient_030_node_2,,
104,patient_055_node_4,,
105,slide_15,,
106,slide_355,,
107,slide_11,,
108,slide_159,,
109,slide_111,,
110,slide_285,,
111,patient_018_node_0,,
112,patient_044_node_1,,
113,patient_074_node_3,,
114,slide_13,,
115,patient_083_node_2,,
116,patient_090_node_1,,
117,patient_037_node_2,,
118,patient_088_node_2,,
119,slide_53,,
120,slide_2,,
121,patient_031_node_1,,
122,patient_082_node_1,,
123,patient_078_node_1,,
124,slide_120,,
