,train,val,test
patient_064_node_2,True,False,False
patient_073_node_0,True,False,False
slide_4,True,False,False
slide_380,True,False,False
patient_046_node_0,True,False,False
slide_28,True,False,False
patient_078_node_0,True,False,False
slide_82,True,False,False
slide_24,True,False,False
slide_144,True,False,False
patient_099_node_1,True,False,False
patient_078_node_3,True,False,False
patient_028_node_4,True,False,False
patient_079_node_4,True,False,False
slide_325,True,False,False
slide_94,True,False,False
patient_098_node_2,True,False,False
slide_295,True,False,False
patient_035_node_3,True,False,False
slide_50,True,False,False
patient_001_node_3,True,False,False
patient_093_node_3,True,False,False
slide_150,True,False,False
patient_031_node_4,True,False,False
patient_093_node_0,True,False,False
patient_052_node_4,True,False,False
patient_086_node_2,True,False,False
slide_156,True,False,False
slide_323,True,False,False
slide_12,True,False,False
patient_009_node_3,True,False,False
patient_087_node_4,True,False,False
patient_059_node_1,True,False,False
patient_025_node_3,True,False,False
patient_060_node_4,True,False,False
patient_095_node_1,True,False,False
patient_007_node_0,True,False,False
patient_070_node_0,True,False,False
patient_042_node_4,True,False,False
patient_024_node_3,True,False,False
patient_025_node_0,True,False,False
slide_10,True,False,False
slide_149,True,False,False
slide_33,True,False,False
patient_089_node_4,True,False,False
slide_34,True,False,False
patient_012_node_1,True,False,False
slide_131,True,False,False
slide_302,True,False,False
slide_72,True,False,False
patient_074_node_1,True,False,False
slide_74,True,False,False
patient_042_node_1,True,False,False
patient_055_node_1,True,False,False
patient_099_node_0,True,False,False
patient_079_node_2,True,False,False
slide_362,True,False,False
slide_341,True,False,False
slide_69,True,False,False
slide_317,True,False,False
slide_71,True,False,False
slide_38,True,False,False
slide_68,True,False,False
slide_80,True,False,False
slide_61,True,False,False
patient_043_node_4,True,False,False
slide_20,True,False,False
patient_090_node_2,True,False,False
slide_140,True,False,False
slide_16,True,False,False
slide_132,True,False,False
slide_388,True,False,False
slide_396,True,False,False
patient_001_node_0,True,False,False
patient_078_node_4,True,False,False
patient_021_node_2,True,False,False
slide_90,True,False,False
patient_054_node_3,True,False,False
slide_154,True,False,False
patient_015_node_3,True,False,False
patient_071_node_3,True,False,False
slide_73,True,False,False
patient_005_node_1,True,False,False
patient_058_node_1,True,False,False
patient_096_node_1,True,False,False
patient_081_node_3,True,False,False
slide_87,True,False,False
patient_043_node_2,True,False,False
patient_075_node_3,True,False,False
patient_068_node_0,True,False,False
slide_56,True,False,False
patient_036_node_1,True,False,False
patient_066_node_1,True,False,False
slide_97,True,False,False
patient_023_node_1,True,False,False
patient_053_node_3,True,False,False
slide_384,True,False,False
patient_046_node_2,True,False,False
patient_058_node_3,True,False,False
patient_010_node_2,True,False,False
patient_054_node_1,True,False,False
slide_41,True,False,False
patient_055_node_4,True,False,False
slide_15,True,False,False
slide_355,True,False,False
slide_11,True,False,False
patient_048_node_2,True,False,False
slide_111,True,False,False
patient_018_node_0,True,False,False
patient_071_node_2,True,False,False
patient_074_node_3,True,False,False
slide_13,True,False,False
patient_054_node_4,True,False,False
patient_083_node_2,True,False,False
patient_035_node_0,True,False,False
patient_037_node_2,True,False,False
slide_146,True,False,False
patient_005_node_0,True,False,False
slide_53,True,False,False
patient_060_node_2,True,False,False
patient_083_node_4,True,False,False
slide_2,True,False,False
patient_078_node_1,True,False,False
slide_120,True,False,False
patient_087_node_3,True,False,False
patient_083_node_3,True,False,False
slide_46,True,False,False
slide_54,True,False,False
slide_378,True,False,False
patient_074_node_2,True,False,False
patient_040_node_0,True,False,False
slide_360,True,False,False
patient_066_node_0,True,False,False
patient_030_node_1,True,False,False
patient_034_node_2,True,False,False
patient_006_node_0,True,False,False
patient_011_node_1,True,False,False
patient_099_node_2,True,False,False
slide_107,True,False,False
patient_019_node_4,True,False,False
patient_035_node_2,True,False,False
slide_77,True,False,False
patient_085_node_2,True,False,False
slide_139,True,False,False
slide_104,True,False,False
